N,P,K,pH,Rainfall(mm),Temperature(°C),Humidity(%),SoilType,Region,Season,Crop,SoilOrganicCarbon(%),Altitude(m),IrrigationAvailability,WindSpeed(km/h),SoilMoisture(%),WaterTableDepth(m),HistoricalYield(t/ha)
66,94,175,6.23,256.2,39.1,58.2,Peaty,Bihar,Rabi,Sugarcane,2.12,1761.0,Yes,3.2,27.2,17.1,5.33
85,141,56,7.27,140.8,21.8,74.4,Clay,Maharashtra,Zaid,Sugarcane,2.39,1587.0,Yes,29.6,32.3,2.6,3.06
6,91,102,8.18,287.5,37.8,56.7,Sandy,West Bengal,Rabi,Wheat,2.72,2340.0,No,15.0,17.2,24.1,3.94
37,13,10,4.25,74.0,26.8,64.3,Chalky,Punjab,Zaid,Sugarcane,1.05,2741.0,No,8.5,30.7,29.7,9.81
113,112,98,7.3,273.7,40.0,49.8,Loamy,Bihar,Rabi,Jowar,2.23,1289.0,No,8.4,32.0,17.9,5.83
14,20,153,7.76,186.7,25.8,79.9,Chalky,Tamil Nadu,Rabi,Jowar,0.48,2882.0,Yes,1.0,27.6,3.7,6.56
31,107,154,7.24,54.2,31.4,88.4,Loamy,Bihar,Kharif,Pulses,0.3,331.0,No,1.6,10.0,18.3,1.46
91,67,190,4.51,136.5,22.2,43.0,Sandy,Tamil Nadu,Rabi,Sugarcane,1.68,2383.0,No,9.3,31.3,2.2,8.94
82,127,197,7.68,136.0,24.8,79.2,Sandy,Andhra Pradesh,Zaid,Pulses,0.83,627.0,No,3.5,6.9,23.5,4.44
106,84,171,4.22,175.9,34.6,69.5,Clay,Punjab,Rabi,Pulses,1.63,1650.0,No,27.4,41.6,20.2,5.62
10,106,122,4.8,143.6,31.2,65.9,Sandy,Punjab,Kharif,Jowar,2.48,2843.0,No,3.1,49.3,18.4,2.09
92,27,155,4.32,262.1,35.5,47.5,Peaty,Tamil Nadu,Zaid,Pulses,0.34,831.0,No,4.1,45.7,7.9,3.78
118,77,89,5.5,91.0,32.4,84.8,Loamy,Maharashtra,Kharif,Jowar,2.87,574.0,No,19.2,33.5,20.4,3.63
109,80,50,4.02,199.2,30.0,68.9,Sandy,Gujarat,Zaid,Rice,0.68,2151.0,No,3.8,10.0,2.0,8.9
20,129,25,4.39,202.7,38.4,48.2,Loamy,Bihar,Rabi,Rice,2.81,1051.0,Yes,23.9,17.6,24.4,7.11
37,44,164,5.09,155.1,39.1,55.8,Sandy,Gujarat,Kharif,Rice,1.95,1527.0,Yes,18.1,6.3,2.9,8.24
72,122,97,8.38,246.0,23.6,76.6,Peaty,Tamil Nadu,Zaid,Barley,0.77,2389.0,Yes,9.6,7.0,27.4,3.95
118,42,124,5.62,286.8,28.2,51.1,Chalky,Tamil Nadu,Zaid,Sugarcane,0.85,2998.0,Yes,14.5,43.7,14.9,5.27
102,46,63,4.97,252.5,22.6,44.2,Clay,Andhra Pradesh,Rabi,Jowar,0.3,1896.0,Yes,18.9,35.9,3.6,2.86
101,61,134,7.15,196.1,30.0,50.1,Silty,West Bengal,Rabi,Jowar,1.75,2917.0,Yes,18.0,41.0,9.9,5.38
21,96,144,4.75,245.1,36.7,65.4,Clay,Tamil Nadu,Rabi,Maize,2.55,2481.0,No,5.6,23.9,9.5,3.49
77,114,129,8.34,271.1,26.3,55.5,Clay,Punjab,Kharif,Bajra,2.61,2478.0,Yes,6.2,28.5,3.1,1.41
16,124,142,5.69,136.9,28.9,75.6,Sandy,Punjab,Rabi,Pulses,0.38,1750.0,Yes,21.2,29.8,21.3,2.71
1,113,200,5.64,292.6,38.6,43.6,Silty,Gujarat,Rabi,Rice,0.89,2781.0,No,20.3,34.9,27.4,9.39
64,104,70,7.37,68.1,33.4,77.8,Sandy,Gujarat,Kharif,Bajra,1.97,254.0,No,20.5,47.9,4.9,9.39
51,141,151,4.37,188.8,25.1,66.8,Chalky,Punjab,Zaid,Pulses,2.39,2078.0,No,23.9,30.1,29.9,1.85
58,103,45,5.9,176.9,25.8,50.6,Chalky,Maharashtra,Zaid,Bajra,2.17,1911.0,No,21.9,29.0,13.7,7.07
73,135,35,8.39,116.7,35.4,73.9,Loamy,Bihar,Kharif,Sugarcane,1.28,1395.0,Yes,4.3,6.8,14.2,9.69
12,46,203,8.15,168.2,33.3,85.5,Clay,Maharashtra,Kharif,Cotton,1.7,392.0,Yes,15.5,29.6,12.5,3.48
86,131,113,4.84,65.4,20.5,67.8,Chalky,Maharashtra,Rabi,Rice,2.23,1018.0,Yes,24.6,36.6,20.4,9.39
135,73,143,6.34,183.3,23.8,42.1,Sandy,Punjab,Kharif,Cotton,2.47,800.0,Yes,5.0,33.7,16.6,6.85
69,39,180,4.88,131.7,31.7,56.9,Peaty,Andhra Pradesh,Rabi,Pulses,2.22,221.0,Yes,24.2,39.5,14.9,1.05
26,48,152,6.98,190.8,31.7,45.1,Silty,Tamil Nadu,Kharif,Maize,0.82,2206.0,No,0.6,49.5,29.2,7.55
49,106,156,7.84,126.7,21.9,64.7,Peaty,Maharashtra,Kharif,Maize,1.69,1380.0,No,10.3,21.2,22.4,7.72
45,29,89,4.48,218.6,24.1,56.6,Clay,Punjab,Kharif,Pulses,1.12,504.0,Yes,9.0,42.6,22.7,5.99
94,96,137,6.1,147.5,21.8,50.4,Peaty,West Bengal,Zaid,Rice,1.32,688.0,No,0.6,43.7,29.3,7.29
2,85,51,4.96,296.4,31.6,53.8,Clay,Maharashtra,Rabi,Maize,2.29,2138.0,No,12.1,23.1,4.1,2.16
38,103,79,4.78,166.3,33.0,58.3,Chalky,Gujarat,Zaid,Sugarcane,2.6,1900.0,No,3.5,45.1,25.2,3.36
108,91,48,4.68,230.1,32.2,47.3,Peaty,Tamil Nadu,Zaid,Bajra,1.72,1451.0,Yes,13.3,15.2,16.9,6.65
133,88,56,8.39,80.5,25.8,78.5,Clay,Bihar,Kharif,Jowar,0.94,2416.0,Yes,1.8,21.5,25.6,1.88
98,6,77,6.84,204.1,36.3,63.2,Peaty,West Bengal,Zaid,Cotton,0.42,336.0,Yes,1.9,18.4,10.2,1.36
126,49,166,7.15,209.6,36.8,86.7,Chalky,Gujarat,Kharif,Maize,2.4,1359.0,Yes,28.3,42.4,7.5,6.13
22,121,174,5.35,70.9,35.1,40.9,Peaty,Andhra Pradesh,Zaid,Wheat,0.85,1195.0,No,26.4,12.3,13.3,8.24
15,120,109,5.98,252.9,22.1,84.0,Loamy,Maharashtra,Rabi,Sugarcane,2.27,1005.0,Yes,9.4,7.3,20.4,7.17
112,52,176,7.83,271.7,26.7,87.3,Sandy,West Bengal,Kharif,Rice,1.06,1975.0,Yes,19.5,44.7,18.9,3.79
2,30,192,6.42,89.7,32.6,53.6,Sandy,Andhra Pradesh,Zaid,Pulses,2.75,865.0,No,11.1,49.1,6.0,6.94
124,81,117,4.25,253.9,28.8,65.9,Loamy,Gujarat,Kharif,Sugarcane,1.16,58.0,No,24.6,34.0,21.2,5.91
116,72,19,6.38,109.1,21.9,56.2,Chalky,West Bengal,Zaid,Pulses,1.67,1614.0,No,20.0,12.5,29.7,1.21
54,88,54,4.66,79.1,38.2,50.3,Chalky,Andhra Pradesh,Zaid,Jowar,0.87,331.0,No,22.9,6.4,28.4,8.42
92,47,159,4.12,162.3,24.7,80.0,Loamy,Bihar,Zaid,Maize,2.85,2506.0,No,27.9,13.9,24.1,3.54
63,20,70,8.16,250.3,29.6,43.8,Chalky,Gujarat,Kharif,Pulses,0.43,2147.0,Yes,26.8,11.6,20.5,6.65
133,37,151,7.5,121.0,35.7,68.8,Sandy,Andhra Pradesh,Kharif,Wheat,2.81,1901.0,Yes,15.9,5.9,26.1,1.12
108,108,29,5.83,114.0,34.6,65.5,Peaty,Bihar,Rabi,Maize,1.14,344.0,Yes,26.9,9.5,25.9,5.35
114,75,126,6.33,284.2,33.6,52.2,Chalky,Punjab,Kharif,Sugarcane,2.26,2716.0,Yes,15.5,24.6,18.4,7.04
11,127,13,4.17,172.4,20.1,66.9,Loamy,West Bengal,Kharif,Maize,2.47,2981.0,No,26.5,11.2,1.5,6.7
72,142,14,8.14,154.4,29.1,89.9,Sandy,Bihar,Kharif,Barley,0.73,2369.0,Yes,0.0,41.7,19.0,9.75
41,140,22,7.51,63.6,23.0,80.2,Chalky,Andhra Pradesh,Kharif,Maize,0.78,1212.0,Yes,5.0,47.3,16.6,8.95
111,111,58,5.01,71.2,20.8,48.4,Silty,West Bengal,Zaid,Bajra,1.17,1823.0,Yes,10.1,20.1,23.4,6.65
65,75,171,8.35,294.5,24.8,58.3,Sandy,Tamil Nadu,Rabi,Wheat,2.81,719.0,Yes,16.5,7.7,28.2,5.1
110,138,104,7.67,194.4,27.3,58.2,Sandy,Maharashtra,Rabi,Rice,2.82,1520.0,Yes,24.5,7.2,6.5,7.26
102,41,201,6.71,93.3,27.6,65.7,Silty,Maharashtra,Kharif,Jowar,1.57,6.0,No,27.2,5.8,2.9,4.94
39,105,161,5.88,258.0,32.7,61.0,Silty,Andhra Pradesh,Zaid,Jowar,2.07,1769.0,No,26.0,13.2,1.5,2.49
60,6,61,4.6,162.1,31.2,58.1,Clay,Andhra Pradesh,Rabi,Jowar,0.57,821.0,No,11.6,44.7,21.0,3.84
23,36,174,7.27,242.0,26.6,89.6,Sandy,West Bengal,Kharif,Bajra,2.5,2282.0,Yes,12.5,29.4,20.4,1.94
23,24,162,6.58,84.1,32.8,73.9,Chalky,Tamil Nadu,Zaid,Maize,0.39,1603.0,Yes,15.5,13.6,21.4,4.55
76,132,121,6.56,191.7,29.0,80.0,Loamy,Punjab,Kharif,Wheat,1.3,494.0,No,22.3,34.0,26.9,6.41
6,106,75,8.01,66.6,25.7,51.0,Loamy,Punjab,Kharif,Wheat,2.46,2148.0,Yes,14.8,41.7,3.5,2.94
128,14,105,6.42,233.0,36.1,76.6,Chalky,West Bengal,Kharif,Pulses,1.21,334.0,No,8.0,28.5,24.8,5.75
110,131,5,5.55,265.6,21.9,75.6,Clay,Maharashtra,Kharif,Jowar,0.86,1576.0,Yes,25.2,29.8,17.1,1.95
111,140,28,6.9,64.0,38.1,45.5,Chalky,Maharashtra,Zaid,Pulses,2.14,2759.0,No,0.6,47.4,22.0,6.38
83,29,87,8.07,159.1,31.4,79.2,Silty,Gujarat,Zaid,Barley,2.89,2269.0,No,12.2,18.1,4.4,4.83
80,40,180,5.51,262.3,31.6,67.9,Silty,Maharashtra,Rabi,Bajra,1.05,490.0,Yes,6.1,38.5,4.2,8.29
48,86,186,4.43,98.4,37.4,61.3,Silty,Bihar,Zaid,Sugarcane,0.44,1195.0,No,26.6,27.0,24.8,6.48
5,126,14,4.05,170.3,23.4,73.6,Silty,Punjab,Zaid,Sugarcane,2.43,2240.0,No,25.9,40.5,2.9,5.77
102,50,34,5.59,270.4,26.9,63.1,Sandy,Tamil Nadu,Kharif,Maize,0.96,2965.0,Yes,13.1,32.6,11.1,6.72
41,93,101,4.07,135.5,30.8,52.1,Clay,Bihar,Zaid,Cotton,2.72,2852.0,No,25.2,42.6,8.1,5.09
129,84,190,5.79,80.9,25.3,45.4,Peaty,Andhra Pradesh,Zaid,Rice,1.83,560.0,No,0.2,36.9,3.8,3.96
4,74,168,4.12,67.1,26.1,51.6,Silty,Andhra Pradesh,Zaid,Cotton,2.42,1064.0,No,3.8,13.9,18.4,3.84
108,100,28,7.49,159.1,38.4,66.1,Clay,Andhra Pradesh,Rabi,Rice,1.63,1203.0,No,17.0,47.3,22.7,7.14
46,97,55,4.24,205.0,38.6,62.5,Peaty,Gujarat,Rabi,Jowar,2.06,2833.0,Yes,16.6,8.7,15.8,4.21
58,56,45,7.47,109.9,22.8,78.4,Clay,Gujarat,Kharif,Cotton,2.03,1416.0,Yes,22.9,27.5,28.5,4.12
93,73,152,4.6,68.8,31.7,64.3,Loamy,Punjab,Zaid,Cotton,2.93,1623.0,No,3.0,17.5,20.8,2.76
67,141,12,8.04,265.3,26.1,73.7,Chalky,Punjab,Kharif,Pulses,2.91,2977.0,No,19.6,14.1,7.5,3.3
137,60,190,8.02,115.2,24.8,54.1,Chalky,West Bengal,Kharif,Jowar,0.93,530.0,Yes,11.3,6.6,28.6,6.05
59,92,128,6.78,74.6,36.9,84.6,Silty,West Bengal,Rabi,Wheat,0.59,842.0,Yes,24.2,11.0,11.0,3.02
135,75,53,8.23,102.6,37.2,85.1,Chalky,West Bengal,Kharif,Barley,1.28,1123.0,No,9.5,36.8,14.7,2.52
12,41,101,6.55,260.4,22.5,64.0,Silty,Maharashtra,Zaid,Sugarcane,0.63,966.0,Yes,10.5,15.0,3.9,8.2
87,113,82,4.34,218.4,22.6,44.7,Peaty,West Bengal,Kharif,Rice,1.4,1031.0,No,30.0,22.1,5.8,9.6
80,59,145,6.16,263.1,30.8,53.2,Clay,Bihar,Rabi,Pulses,1.83,594.0,No,2.4,42.0,7.6,3.06
3,31,187,5.06,187.1,29.9,70.9,Silty,West Bengal,Rabi,Maize,1.75,2477.0,No,22.7,49.8,15.5,8.22
58,143,77,7.98,153.1,24.6,42.3,Loamy,Punjab,Zaid,Rice,1.14,1877.0,No,12.6,40.5,14.2,8.39
48,100,113,5.92,94.4,32.2,50.7,Peaty,Bihar,Kharif,Bajra,1.02,1879.0,Yes,29.6,8.6,2.5,4.5
103,114,43,6.02,236.5,39.9,56.9,Chalky,Bihar,Rabi,Cotton,2.05,249.0,Yes,28.7,22.4,20.5,4.07
10,102,160,5.98,274.6,31.8,73.5,Chalky,West Bengal,Zaid,Bajra,2.9,2385.0,Yes,17.6,14.5,19.7,3.44
40,93,56,6.83,185.5,27.0,83.1,Loamy,Bihar,Zaid,Pulses,1.52,2410.0,No,22.1,8.6,28.3,1.57
122,116,88,5.68,148.4,38.2,43.3,Silty,Gujarat,Kharif,Barley,2.34,1256.0,No,26.9,36.8,4.0,3.54
18,50,116,5.99,258.5,33.9,69.7,Loamy,Tamil Nadu,Zaid,Barley,0.67,174.0,No,2.1,35.6,17.4,2.29
41,41,13,6.62,82.5,24.8,72.4,Sandy,West Bengal,Kharif,Bajra,0.54,547.0,No,21.4,47.5,19.7,8.91
116,62,204,7.17,75.4,27.8,83.7,Peaty,Tamil Nadu,Rabi,Cotton,2.13,2993.0,Yes,9.8,13.7,17.3,7.43
40,60,147,5.48,174.3,38.9,60.2,Chalky,Punjab,Kharif,Jowar,1.68,771.0,Yes,16.0,44.4,16.4,9.81
21,123,44,4.9,75.3,25.7,66.1,Peaty,Gujarat,Zaid,Barley,1.55,14.0,No,11.6,27.3,6.3,9.04
25,24,150,5.6,155.2,31.2,52.2,Loamy,Tamil Nadu,Zaid,Barley,2.98,2204.0,Yes,18.2,5.7,13.5,4.5
121,83,103,6.78,52.2,28.0,66.6,Peaty,Andhra Pradesh,Rabi,Rice,1.34,1500.0,No,29.3,7.8,27.7,4.23
76,125,182,5.14,296.8,37.0,40.6,Clay,Tamil Nadu,Rabi,Sugarcane,0.49,1982.0,Yes,27.8,9.3,18.6,3.06
76,39,155,5.66,89.7,39.3,75.6,Loamy,Maharashtra,Rabi,Maize,0.78,2651.0,No,24.1,46.8,19.3,8.22
107,22,174,4.32,257.3,28.7,40.1,Loamy,West Bengal,Zaid,Cotton,2.67,39.0,No,25.2,35.0,4.1,4.75
16,53,48,8.07,132.3,33.4,87.9,Sandy,Andhra Pradesh,Kharif,Bajra,1.39,2294.0,Yes,13.1,29.4,10.8,2.02
109,19,24,7.72,127.7,20.3,65.4,Peaty,Maharashtra,Zaid,Jowar,2.9,375.0,No,15.4,47.6,2.7,2.99
61,119,101,4.04,122.3,24.1,71.3,Silty,Bihar,Kharif,Wheat,2.38,887.0,Yes,15.7,47.9,17.0,6.91
74,72,155,8.4,234.8,31.8,75.8,Silty,Tamil Nadu,Rabi,Wheat,2.8,786.0,No,8.9,16.6,22.8,2.53
124,36,190,7.23,199.0,27.3,51.7,Sandy,Bihar,Zaid,Maize,2.79,2571.0,Yes,20.6,24.1,14.7,8.48
23,43,105,5.27,202.3,35.3,89.1,Loamy,Punjab,Rabi,Pulses,2.27,1938.0,Yes,16.4,15.0,29.4,3.55
72,17,144,8.08,144.8,25.3,78.3,Silty,Gujarat,Zaid,Wheat,0.23,1480.0,No,9.4,41.9,8.7,3.37
87,23,16,4.24,243.0,36.5,72.3,Loamy,West Bengal,Rabi,Jowar,0.34,1853.0,Yes,7.2,28.5,27.1,7.84
125,116,115,5.86,236.7,24.5,66.8,Chalky,Bihar,Kharif,Sugarcane,2.47,2088.0,No,24.4,39.1,16.3,1.59
16,68,33,8.05,218.0,22.2,51.5,Loamy,Tamil Nadu,Zaid,Jowar,1.14,1413.0,Yes,3.4,10.1,28.5,8.18
3,144,175,6.68,189.3,38.4,55.1,Peaty,Punjab,Zaid,Sugarcane,1.44,479.0,No,19.3,47.3,12.1,5.46
22,74,137,4.22,158.1,31.3,67.9,Loamy,Bihar,Rabi,Barley,1.98,767.0,Yes,29.5,42.5,23.6,9.34
95,15,144,7.14,266.2,21.5,85.3,Clay,West Bengal,Zaid,Pulses,1.74,2339.0,Yes,28.8,40.1,13.6,4.05
103,98,182,6.54,237.9,32.0,42.5,Clay,Maharashtra,Rabi,Barley,2.46,658.0,No,22.5,30.2,14.6,3.68
26,119,166,4.63,174.5,32.1,47.5,Clay,Punjab,Kharif,Barley,1.33,2309.0,No,22.6,38.6,19.9,1.53
58,100,191,6.88,233.0,34.3,62.7,Clay,Bihar,Zaid,Sugarcane,2.44,2755.0,No,16.1,20.9,15.6,7.28
107,8,179,4.51,89.6,39.6,50.7,Clay,Andhra Pradesh,Kharif,Pulses,2.29,1527.0,No,5.1,41.8,7.8,1.73
19,39,143,7.68,196.3,32.7,84.8,Silty,Gujarat,Kharif,Barley,2.08,2540.0,Yes,8.9,45.9,7.8,5.92
56,53,163,6.16,182.6,30.1,87.8,Sandy,Bihar,Rabi,Jowar,2.98,1500.0,Yes,21.3,5.5,19.2,9.32
95,8,137,5.59,59.5,37.5,78.7,Loamy,Gujarat,Zaid,Maize,2.74,2997.0,Yes,6.4,35.8,10.5,1.85
114,143,151,7.0,199.5,21.9,46.2,Sandy,Punjab,Rabi,Pulses,2.7,737.0,Yes,2.3,46.0,23.5,1.2
106,39,77,5.08,291.5,38.8,80.8,Silty,Bihar,Kharif,Rice,1.32,1863.0,No,26.7,49.2,20.2,2.54
20,14,78,4.15,237.5,21.9,81.9,Chalky,Maharashtra,Kharif,Rice,0.93,1098.0,Yes,23.8,34.5,29.4,7.38
111,58,87,8.28,264.6,36.1,48.7,Silty,West Bengal,Rabi,Rice,2.57,2427.0,No,4.3,13.6,17.4,9.94
87,44,68,7.11,147.1,33.8,64.3,Loamy,Tamil Nadu,Rabi,Sugarcane,1.82,1698.0,Yes,16.2,29.9,14.5,7.94
27,17,57,4.9,118.5,37.7,43.4,Peaty,Tamil Nadu,Zaid,Barley,0.23,1070.0,Yes,10.4,20.2,21.8,7.79
133,47,18,7.19,254.5,27.1,69.4,Silty,West Bengal,Kharif,Bajra,1.52,1656.0,Yes,24.2,43.1,5.8,5.15
20,68,83,8.19,176.4,32.4,51.1,Peaty,Tamil Nadu,Kharif,Jowar,2.28,10.0,Yes,5.7,23.2,15.1,6.79
9,141,111,5.75,162.7,39.2,76.1,Chalky,Punjab,Zaid,Barley,2.78,2112.0,Yes,19.4,42.5,21.1,3.81
60,93,45,7.7,128.1,33.4,59.9,Loamy,Bihar,Zaid,Rice,0.79,1831.0,No,11.8,5.4,21.1,9.77
58,100,137,5.68,151.1,26.1,60.1,Silty,Tamil Nadu,Kharif,Wheat,2.62,1551.0,No,25.0,15.0,26.8,4.11
139,18,28,7.33,75.8,38.3,76.8,Chalky,Bihar,Zaid,Rice,1.04,2475.0,No,29.4,27.2,27.6,9.72
14,44,132,4.33,218.7,24.6,50.5,Peaty,Maharashtra,Kharif,Jowar,1.73,1772.0,No,13.9,17.2,21.8,6.56
96,136,190,4.68,102.2,27.8,73.2,Clay,Punjab,Rabi,Sugarcane,0.25,55.0,Yes,20.3,31.9,25.0,4.48
90,8,201,7.21,234.4,31.8,78.2,Silty,Bihar,Kharif,Rice,1.99,1039.0,No,13.4,17.5,22.3,7.21
32,127,100,6.39,204.2,27.6,56.3,Silty,Punjab,Kharif,Pulses,1.06,116.0,Yes,9.9,22.8,14.5,1.53
127,79,169,4.67,56.3,34.1,80.6,Loamy,Gujarat,Kharif,Rice,1.02,2261.0,Yes,10.1,16.8,23.1,1.92
41,37,199,7.69,149.4,33.8,57.2,Loamy,West Bengal,Rabi,Bajra,2.98,980.0,Yes,24.1,44.3,10.6,8.95
47,73,24,4.7,97.7,30.6,51.1,Loamy,Punjab,Zaid,Pulses,1.44,140.0,No,5.2,26.3,26.6,6.8
131,8,31,6.04,269.2,36.4,41.8,Clay,Tamil Nadu,Rabi,Barley,1.86,140.0,Yes,21.2,40.2,8.9,3.68
64,139,63,8.38,245.1,22.4,44.9,Loamy,Tamil Nadu,Rabi,Cotton,1.13,2659.0,No,19.2,45.1,17.4,6.28
18,18,123,7.53,113.7,39.4,62.4,Sandy,Punjab,Zaid,Jowar,1.5,613.0,Yes,10.4,12.8,25.2,9.38
19,87,56,7.48,219.3,26.7,79.1,Sandy,Tamil Nadu,Kharif,Pulses,2.17,739.0,No,19.4,32.7,14.9,4.43
66,18,20,5.65,184.2,34.9,48.6,Chalky,West Bengal,Rabi,Wheat,0.47,840.0,Yes,28.4,49.9,28.0,7.06
79,30,64,5.35,122.9,27.6,63.5,Silty,West Bengal,Rabi,Barley,0.63,2407.0,Yes,15.6,42.7,14.1,9.47
105,39,94,7.4,233.7,20.6,44.4,Silty,Gujarat,Kharif,Rice,2.89,558.0,No,20.0,11.9,7.6,1.22
16,16,187,5.6,263.4,20.7,81.0,Loamy,Tamil Nadu,Rabi,Maize,0.97,2304.0,Yes,28.1,39.3,13.0,7.39
67,117,139,5.25,73.8,37.6,74.0,Clay,Bihar,Zaid,Barley,1.7,2872.0,No,7.9,23.2,11.7,4.79
96,31,146,8.49,79.5,27.8,57.9,Loamy,Gujarat,Zaid,Cotton,0.97,834.0,Yes,16.7,36.8,12.4,1.03
104,38,113,6.92,242.9,30.2,53.9,Sandy,Maharashtra,Zaid,Rice,0.98,292.0,Yes,16.7,33.8,26.0,9.27
136,32,175,7.83,126.9,31.6,63.0,Peaty,Andhra Pradesh,Zaid,Cotton,0.37,2466.0,No,28.2,42.4,28.7,3.65
57,5,66,6.72,271.6,23.7,79.4,Chalky,Punjab,Kharif,Sugarcane,1.27,2036.0,Yes,8.5,7.3,25.6,1.2
53,50,108,6.58,190.6,39.4,78.8,Peaty,Bihar,Kharif,Maize,0.39,445.0,No,19.1,17.6,17.1,1.08
127,28,125,6.0,182.7,20.5,82.8,Clay,Maharashtra,Kharif,Maize,2.51,1492.0,Yes,5.6,44.3,7.7,3.74
47,96,76,5.57,143.8,30.9,49.0,Clay,West Bengal,Kharif,Pulses,2.67,1671.0,No,28.5,47.4,25.1,5.26
125,73,22,7.06,127.9,33.2,46.8,Chalky,Tamil Nadu,Zaid,Pulses,0.3,1815.0,No,4.8,36.3,25.2,7.35
36,35,39,5.58,174.6,35.9,73.7,Sandy,West Bengal,Kharif,Maize,2.79,2454.0,No,12.6,6.5,11.1,2.31
96,130,198,6.13,291.2,28.9,85.1,Chalky,Andhra Pradesh,Zaid,Bajra,1.03,2510.0,No,16.0,7.1,22.3,9.05
14,55,112,5.39,148.5,27.3,76.3,Silty,Bihar,Zaid,Jowar,1.38,1969.0,Yes,17.2,36.3,15.4,1.45
113,7,203,5.43,71.3,39.7,63.2,Silty,Bihar,Rabi,Maize,1.98,1970.0,Yes,17.9,44.3,22.2,9.85
58,77,111,5.39,144.7,36.8,80.7,Peaty,Tamil Nadu,Zaid,Wheat,1.12,16.0,No,18.1,16.5,7.4,8.75
119,73,42,5.76,223.6,29.2,75.7,Sandy,Maharashtra,Kharif,Jowar,0.85,1266.0,Yes,25.3,19.2,26.1,1.58
14,94,193,7.65,257.1,32.1,83.8,Sandy,Gujarat,Rabi,Barley,2.99,381.0,No,11.6,20.1,19.1,4.26
69,115,144,6.21,148.0,21.2,74.0,Silty,Punjab,Zaid,Sugarcane,1.59,1626.0,Yes,26.1,41.6,23.6,5.34
133,112,139,8.24,118.6,34.0,46.0,Loamy,Punjab,Rabi,Cotton,1.69,1488.0,No,12.4,8.7,28.2,1.95
16,139,23,6.36,148.9,35.6,84.1,Clay,Punjab,Zaid,Jowar,0.97,1286.0,No,5.7,10.3,3.1,1.86
